date,city,pm25,pm10,no2,co,o3,temperature,humidity,wind_speed,aqi,aqi_category
2025-01-08,Ghaziabad,395.9,840.7,161.4,4.91,17.7,9.1,100,2.3,500,Severe
2025-01-09,Delhi,411.9,694.9,157.2,7.09,14.7,6.9,99,3.7,500,Severe
2025-01-09,Noida,260.2,457.4,97.8,3.41,20.6,8.7,96,3.3,434,Severe
2025-01-09,Gurugram,294.3,500,85.8,4.26,28.7,8.8,96,3.9,488,Severe
2025-01-09,Faridabad,306.7,547.1,103.2,4.53,17,8.1,100,2.7,500,Severe
2025-01-09,Ghaziabad,311.8,585.8,99.4,5.41,12.1,6.7,100,2.9,500,Severe
2025-01-10,Delhi,319.1,538.1,114.7,4.44,16.1,7,100,2.7,500,Severe
2025-01-10,Noida,254.9,477.1,81.4,4.33,26.5,8.3,98,3.5,459,Severe
2025-01-10,Gurugram,244.8,492.3,86,3.04,29.4,6.3,96,3.4,478,Severe
2025-01-10,Faridabad,288.4,511.2,86,4.07,20.2,9.4,100,2.7,500,Severe
2025-01-10,Ghaziabad,303,525.9,123.5,4.79,15,7.5,96,2.5,500,Severe
2025-01-11,Delhi,372.2,601.8,151.8,4.76,16.8,9.9,95,4.1,500,Severe
2025-01-11,Noida,225.7,393,69,3.67,28.8,9.5,98,3.7,381,Very Poor
2025-01-11,Gurugram,273.6,494.6,103.3,3.96,23.2,10,96,3.2,481,Severe
2025-01-11,Faridabad,222.8,393.7,63.6,3.45,26.3,7.4,100,2.5,379,Very Poor
2025-01-11,Ghaziabad,312.2,633,112.3,4.84,14.7,7.5,100,3.6,500,Severe
2025-01-12,Delhi,266.3,488.1,110.5,4.63,29.3,6.7,99,2.3,473,Severe
2025-01-12,Noida,254.7,525.8,82.4,3.33,25,7.6,100,2.4,500,Severe
2025-01-12,Gurugram,292,532.7,111.4,4.38,27.8,6.3,100,2.9,500,Severe
2025-01-12,Faridabad,262.8,454.1,91.9,3.75,24.6,8.7,100,3.5,430,Severe
2025-01-12,Ghaziabad,227.4,448.6,70.7,3.62,21.9,8.1,100,2.2,423,Severe
2025-01-13,Delhi,371.9,711.3,128.7,6.63,17.6,8.1,100,3.1,500,Severe
2025-01-13,Noida,343.4,550.5,101.1,5.14,17.6,8.2,100,2.4,500,Severe
2025-01-13,Gurugram,353.1,644.8,139.9,5.55,12.2,7.2,100,3.9,500,Severe
2025-01-13,Faridabad,322.9,662.7,92.7,5,17,9.2,100,3.4,500,Severe
2025-01-13,Ghaziabad,338.1,665.3,134,5.12,12.6,9,100,2.9,500,Severe
2025-01-14,Delhi,273.6,586.8,111.5,3.52,21.5,8.7,100,2.8,500,Severe
2025-01-14,Noida,314.6,627.4,122.1,5.45,12.9,6,100,3,500,Severe
2025-01-14,Gurugram,337.5,589.5,99.5,5.08,14,6.9,100,2.4,500,Severe
2025-01-14,Faridabad,301.9,621.8,85.6,5.05,16.6,7.6,100,3.2,500,Severe
2025-01-14,Ghaziabad,310.9,584.2,114,5.17,12.6,9.2,100,2.4,500,Severe
2025-01-15,Delhi,402.9,774.2,125.2,5.1,15,6.6,97,2.2,500,Severe
2025-01-15,Noida,309.2,582.8,103.2,4.73,16.6,9.4,99,3.8,500,Severe
2025-01-15,Gurugram,287.7,527.3,96.2,3.81,22.8,6.1,100,3.9,500,Severe
2025-01-15,Faridabad,349.3,611.7,112.9,5.86,12.8,9.2,98,2.9,500,Severe
2025-01-15,Ghaziabad,361.7,715.9,114.6,5.32,15.2,6.6,100,3.1,500,Severe
2025-01-16,Delhi,308.9,655.3,99.5,4.64,13.9,9.7,96,3.8,500,Severe
2025-01-16,Noida,311.5,658.9,106.2,4,17,6.4,100,3.3,500,Severe
2025-01-16,Gurugram,244.1,496.8,69.3,3.68,29,6.1,100,2.5,484,Severe
2025-01-16,Faridabad,301.3,535.2,113.5,5.15,12.2,6.1,100,3,500,Severe
2025-01-16,Ghaziabad,339.3,562.2,140.2,5.92,12.6,8.7,96,2.6,500,Severe
2025-01-17,Delhi,322.1,568.8,126.3,4.06,13.3,9.4,100,3.7,500,Severe
2025-01-17,Noida,381.2,718,132.7,5.61,14,7.5,100,2.6,500,Severe
2025-01-17,Gurugram,330.1,676.4,114.4,4.02,12.4,8.1,100,3.4,500,Severe
2025-01-17,Faridabad,264.6,561.8,84.3,3.4,28.5,7.7,100,2.7,500,Severe
2025-01-17,Ghaziabad,354.2,687.8,123.8,5.86,17.3,9,100,3.3,500,Severe
2025-01-18,Delhi,220.1,360.9,87.1,2.96,27.1,9.8,100,3.2,377,Very Poor
2025-01-18,Noida,257.3,537.1,95.5,3.96,20.1,6.7,96,3.9,500,Severe
2025-01-18,Gurugram,241.9,507.5,100,4.07,25.5,8,100,2.4,497,Severe
2025-01-18,Faridabad,258.8,440.8,82.5,3.59,22.7,9.9,100,3.3,414,Severe
2025-01-18,Ghaziabad,234.6,401.6,83.2,3.06,26.6,6,100,3.5,388,Very Poor
2025-01-19,Delhi,343.1,706.9,110.7,4.63,14.8,8.3,100,3.8,500,Severe
2025-01-19,Noida,314.8,514.9,115.4,4.85,12.7,9.8,100,3.3,500,Severe
2025-01-19,Gurugram,231,390.1,86.6,2.97,22.3,8.3,100,2.8,385,Very Poor
2025-01-19,Faridabad,280.5,569.4,97,4.05,20.5,8.1,98,3.6,500,Severe
2025-01-19,Ghaziabad,316.1,694.3,94,4.15,17.8,6.5,100,3.9,500,Severe
2025-01-20,Delhi,252.4,434.1,99.1,3.59,27.6,6,100,2.2,405,Severe
2025-01-20,Noida,304.4,494.7,107.3,4.4,17.3,7,100,3.3,481,Severe
2025-01-20,Gurugram,300.4,554.9,99.8,5.31,15.9,8.6,100,2.4,500,Severe
2025-01-20,Faridabad,306.1,635.1,120.1,3.83,15.1,6.9,100,3.5,500,Severe
2025-01-20,Ghaziabad,356.4,596.6,137.3,4.49,15.7,8.4,100,3.7,500,Severe
2025-01-21,Delhi,368.4,599.2,109.6,4.93,13.7,6.1,100,2.6,500,Severe
2025-01-21,Noida,289.9,582.7,106.9,4.78,20.4,7,100,3.3,500,Severe
2025-01-21,Gurugram,294.1,591.8,120.5,3.97,24.1,9.9,100,4.1,500,Severe
2025-01-21,Faridabad,321.3,639.1,106.7,4.83,12.1,7,99,3.6,500,Severe
2025-01-21,Ghaziabad,401.9,823.4,163.8,5.42,12.1,9.3,100,2.5,500,Severe
2025-01-22,Delhi,277.7,531.1,108.3,4.52,25.2,7,100,2.1,500,Severe
2025-01-22,Noida,302.9,585.7,100.8,3.76,15.3,6.2,100,2.1,500,Severe
2025-01-22,Gurugram,344,596.9,121.2,4.22,17.6,6.8,99,3.5,500,Severe
2025-01-22,Faridabad,274.1,484.3,114.1,4.76,26.6,9.6,98,2.9,468,Severe
2025-01-22,Ghaziabad,361,715.1,136.4,5.3,13.3,6.6,100,2.6,500,Severe
2025-01-23,Delhi,408.3,730.5,120.7,6.32,13.4,9.6,100,3.9,500,Severe
2025-01-23,Noida,302.6,594.8,118.5,4.96,14.3,6.5,96,4.1,500,Severe
2025-01-23,Gurugram,350.5,646.5,124.8,4.52,15.9,6.2,100,2.4,500,Severe
2025-01-23,Faridabad,298,504.4,98.1,5.31,26.9,7.4,100,3.1,493,Severe
2025-01-23,Ghaziabad,305.4,586.5,113.6,4.82,17.2,7.6,100,3.7,500,Severe
2025-01-24,Delhi,257.8,482.7,97.8,4.54,21.7,7.8,100,4.1,466,Severe
2025-01-24,Noida,301.5,598.6,118.3,4.71,12.3,7.3,100,3.6,500,Severe
2025-01-24,Gurugram,243.9,395.1,89.4,3.89,26.8,6.5,100,3.6,395,Very Poor
2025-01-24,Faridabad,277.8,504.8,109.7,4.22,28.4,9.5,100,2.7,494,Severe
2025-01-24,Ghaziabad,270,527.6,100.2,4.29,22.2,9.6,100,3.5,500,Severe
2025-01-25,Delhi,365.8,611.4,103.4,4.75,17.6,8.2,100,3.3,500,Severe
2025-01-25,Noida,271.9,549.7,95.5,3.31,27.3,6.3,100,2.4,500,Severe
2025-01-25,Gurugram,272.8,562.6,78.4,3.86,20.5,6.2,100,3.1,500,Severe
2025-01-25,Faridabad,235.4,495.5,82.9,3.7,21.3,8.9,100,2.1,482,Severe
2025-01-25,Ghaziabad,332.7,649.4,95.1,4.55,13.2,6.4,99,3.4,500,Severe
2025-01-26,Delhi,226.5,417.6,71,2.85,26.8,9.2,95,2.8,384,Very Poor
2025-01-26,Noida,295.6,512.8,94.4,5.05,23.5,8.3,100,3.5,500,Severe
2025-01-26,Gurugram,287.9,532.2,85.6,4.63,29.8,8,100,2.5,500,Severe
2025-01-26,Faridabad,321.5,596.8,126.1,5.76,13.3,6.9,100,2.8,500,Severe
2025-01-26,Ghaziabad,353.3,612.8,106.6,5.96,16.7,7.5,100,3.5,500,Severe
2025-01-27,Delhi,417.1,721,154.3,5.97,15.4,8.4,100,3.2,500,Severe
2025-01-27,Noida,292.2,521.3,114.7,3.79,25.8,6.6,100,2.8,500,Severe
2025-01-27,Gurugram,332.2,626.9,136,5.2,12.1,10,100,2.2,500,Severe
2025-01-27,Faridabad,317.9,619,102.2,5.28,12.8,9,100,2.3,500,Severe
2025-01-27,Ghaziabad,392.2,691.7,147.9,5.16,15,6.9,100,3.4,500,Severe
2025-01-28,Delhi,259.4,541.8,106.3,4.41,28.5,6.5,100,3.6,500,Severe
2025-01-28,Noida,291.7,624.6,93.4,5.01,22.3,7.3,100,3.6,500,Severe
2025-01-28,Gurugram,307.8,524.1,102.5,4.44,13.7,8.5,100,3.5,500,Severe
2025-01-28,Faridabad,331.2,690.4,122.3,5.95,13.2,6.3,99,2.2,500,Severe
2025-01-28,Ghaziabad,315.9,536.3,110.9,4.35,13.1,8.5,100,3.1,500,Severe
2025-01-29,Delhi,389.3,740.1,151.6,6.8,17.8,9.7,100,3.2,500,Severe
2025-01-29,Noida,343.6,599.9,99.5,4.35,16.9,6.1,100,2.5,500,Severe
2025-01-29,Gurugram,299.6,564.6,119.4,4.85,28.4,8.6,100,2.8,500,Severe
2025-01-29,Faridabad,322.1,659.1,127.8,4.47,13.9,8.4,100,2.2,500,Severe
2025-01-29,Ghaziabad,392.1,765.1,162.9,6.94,12.3,6.6,97,3,500,Severe
2025-01-30,Delhi,264.3,558,87.3,3.47,23.7,8.6,100,2.7,500,Severe
2025-01-30,Noida,289.4,487.7,81.3,3.95,27,7.7,100,4.1,472,Severe
2025-01-30,Gurugram,304.7,660.5,103.3,5.06,14,8.9,100,3.2,500,Severe
2025-01-30,Faridabad,371.3,707.4,124.6,4.92,16.5,9.7,100,3.1,500,Severe
2025-01-30,Ghaziabad,327.9,564.8,113.4,4.01,13.3,8.9,100,2.6,500,Severe
2025-01-31,Delhi,357.1,782,115.6,4.29,13.3,7.3,100,3,500,Severe
2025-01-31,Noida,301.2,522.3,86,5.37,15.4,9.8,100,3.6,500,Severe
2025-01-31,Gurugram,294,592.1,111.8,4.41,27.8,6.8,97,2.7,500,Severe
2025-01-31,Faridabad,308,613.4,103,4.83,13.9,7.7,100,2.2,500,Severe
2025-01-31,Ghaziabad,327.2,716.1,131.6,4.07,18,9.4,100,2.2,500,Severe
2025-02-01,Delhi,237.9,444.5,83.2,3.33,20.8,12.9,100,3.4,418,Severe
2025-02-01,Noida,219.6,391.5,66.3,2.97,27.8,10.4,100,2.5,377,Very Poor
2025-02-01,Gurugram,184.5,386,70.9,2.41,22.3,9.6,100,3.8,350,Very Poor
2025-02-01,Faridabad,226.6,470.7,81,3.66,26.3,12.6,100,2.7,451,Severe
2025-02-01,Ghaziabad,197.1,360.2,64.4,2.84,22.7,9.9,100,3.6,359,Very Poor
2025-02-02,Delhi,263.9,499.9,81.3,4.69,21.5,11.3,100,3.5,487,Severe
2025-02-02,Noida,180.3,345.6,73.9,2.53,18.9,9.2,100,3.9,346,Very Poor
2025-02-02,Gurugram,203.8,383.1,74.2,2.6,21.2,12.8,100,4,364,Very Poor
2025-02-02,Faridabad,230.5,477.2,74.6,3.58,27.7,12.2,100,3.6,459,Severe
2025-02-02,Ghaziabad,208.9,440.8,72.8,3.18,29.3,10.4,100,4.2,414,Severe
2025-02-03,Delhi,240,512.7,88,3.93,22.8,12.5,100,2.8,500,Severe
2025-02-03,Noida,253.3,412.9,93.8,3.56,25.5,9.8,96,2.4,403,Severe
2025-02-03,Gurugram,271.2,559.2,112.7,3.72,25.6,9,100,2.4,500,Severe
2025-02-03,Faridabad,211.4,375.6,87.7,2.79,26.7,10.5,100,3.2,370,Very Poor
2025-02-03,Ghaziabad,232.8,493.5,67,3.58,24.5,12.5,100,3.2,479,Severe
2025-02-04,Delhi,239.1,456.4,74.5,3.59,27.8,11.8,100,3.8,433,Severe
2025-02-04,Noida,198.9,325.7,65.6,2.41,21,12.2,100,3.9,361,Very Poor
2025-02-04,Gurugram,271.5,489.4,101.3,3.6,28.6,11.4,100,3.9,474,Severe
2025-02-04,Faridabad,207,426.1,60.4,3.34,21.9,10.3,100,4.1,395,Very Poor
2025-02-04,Ghaziabad,243.9,390.4,98.3,4.13,21,12.4,100,2.7,395,Very Poor
2025-02-05,Delhi,208.2,393.8,60.9,3.67,23,10,98,2.2,368,Very Poor
2025-02-05,Noida,215.8,443.5,87.6,3.12,21.9,12.6,100,4,417,Severe
2025-02-05,Gurugram,206.4,433.1,73.3,2.75,27.8,12.7,100,2.6,404,Severe
2025-02-05,Faridabad,247.7,460.2,94.9,3.99,29.5,9,100,3.9,438,Severe
2025-02-05,Ghaziabad,199.9,411.9,64.8,2.45,18.3,12,100,3.1,377,Very Poor
2025-02-06,Delhi,247.1,400.7,74.7,3.95,28.2,10.8,100,2.2,398,Very Poor
2025-02-06,Noida,224.4,384.2,70.5,2.77,21.4,12,100,4.1,380,Very Poor
2025-02-06,Gurugram,242.4,494.8,71.5,2.93,24,11.6,100,3.2,481,Severe
2025-02-06,Faridabad,214.3,359,79.1,2.83,28.6,11.9,98,4.1,373,Very Poor
2025-02-06,Ghaziabad,310.7,644.5,103.8,5.15,13,12.2,99,3.5,500,Severe
2025-02-07,Delhi,182.7,340.8,70.1,2.86,19.9,10.7,100,2.8,348,Very Poor
2025-02-07,Noida,216.3,411.9,88.8,3.66,28.6,12.7,95,4.1,377,Very Poor
2025-02-07,Gurugram,233.2,412.3,69.1,3.34,26.2,10.8,100,3.8,387,Very Poor
2025-02-07,Faridabad,204.1,448.7,57.5,3.26,20.4,12.8,100,3.6,423,Severe
2025-02-07,Ghaziabad,271.3,572,97,4.85,27.2,9.9,100,3.5,500,Severe
2025-02-08,Delhi,257.4,559.2,97,4.38,22,10.4,100,2.1,500,Severe
2025-02-08,Noida,230.9,430.7,85.7,3.95,25.9,9.4,100,3.2,401,Severe
2025-02-08,Gurugram,222.9,423.6,72.5,3.96,21.8,12.8,100,2.8,392,Very Poor
2025-02-08,Faridabad,202,424.6,57.8,3.54,26.1,10.4,100,3.4,393,Very Poor
2025-02-08,Ghaziabad,261.3,531.7,104,4.58,23.3,9.3,100,3.6,500,Severe
2025-02-09,Delhi,209.8,413.2,84,3.45,22.9,10.1,100,3.8,379,Very Poor
2025-02-09,Noida,167.6,278.1,61.5,2.09,22.8,10,100,4.1,337,Very Poor
2025-02-09,Gurugram,181.7,333.8,75,2.45,23.1,9.2,98,3.8,347,Very Poor
2025-02-09,Faridabad,231.3,410.4,84.3,4.12,21.8,10.5,96,3.6,386,Very Poor
2025-02-09,Ghaziabad,238.3,461.4,71.2,4.14,21.5,12.8,100,2.6,439,Severe
2025-02-10,Delhi,260.8,452,103.9,4.04,26.8,9,100,2.6,428,Severe
2025-02-10,Noida,262.2,464.8,77.6,3.28,29.6,9.1,98,3.9,444,Severe
2025-02-10,Gurugram,257.3,550,107.7,4.31,20.4,11.9,100,3.3,500,Severe
2025-02-10,Faridabad,210.4,349.3,81.4,3.03,28.8,12.8,100,3.9,370,Very Poor
2025-02-10,Ghaziabad,227.7,415.6,83.7,3.7,24.5,11.4,100,4,383,Very Poor
2025-02-11,Delhi,186.7,371.1,78,2.28,18.7,9.1,97,2.2,351,Very Poor
2025-02-11,Noida,172.5,366.5,63.9,2.9,22.5,12.3,97,3.4,340,Very Poor
2025-02-11,Gurugram,213.6,435,82.8,2.95,25.6,11.9,99,4.2,406,Severe
2025-02-11,Faridabad,276.7,605.8,77.6,4.61,24.2,11.7,100,4,500,Severe
2025-02-11,Ghaziabad,227.8,394.9,77.6,3.83,29.6,10.3,100,3.6,383,Very Poor
2025-02-12,Delhi,239.4,491.9,88.8,3.62,27.8,12.4,99,3.2,477,Severe
2025-02-12,Noida,240.2,452.6,100,3.05,22.4,10.7,100,4.2,428,Severe
2025-02-12,Gurugram,206.9,379.8,69.2,3.01,26.6,12.7,100,3.2,367,Very Poor
2025-02-12,Faridabad,222.2,456.5,84.8,3.73,21.9,11,97,2.4,433,Severe
2025-02-12,Ghaziabad,284.7,598.3,94.4,3.95,23.1,10.3,100,2.4,500,Severe
2025-02-13,Delhi,213.8,383.9,68.3,3.8,26.4,9.6,100,3.2,372,Very Poor
2025-02-13,Noida,218.8,442.2,63.3,3.18,25.1,11.6,100,2.5,415,Severe
2025-02-13,Gurugram,264.8,432.8,100.4,4.52,21.3,13,100,3.4,411,Severe
2025-02-13,Faridabad,289,629.2,103.7,4.84,28.7,11.2,100,2.8,500,Severe
2025-02-13,Ghaziabad,203.9,330.8,71.9,2.77,26.4,10.7,100,2.2,365,Very Poor
2025-02-14,Delhi,238,458.5,68.4,4.27,25,12,100,4,436,Severe
2025-02-14,Noida,223.7,460.1,69.3,2.79,27.9,9.1,97,2.2,438,Severe
2025-02-14,Gurugram,243,533.7,77.6,3.29,25.3,12.7,100,2.8,500,Severe
2025-02-14,Faridabad,238.1,411,97.3,3.5,22,10.4,100,2.5,391,Very Poor
2025-02-14,Ghaziabad,226.7,404.6,73.6,3.56,21,9.3,100,3,382,Very Poor
2025-02-15,Delhi,175.6,285.3,51.1,2.15,21,9.7,100,2.5,343,Very Poor
2025-02-15,Noida,213.8,367.2,71.1,3.82,26.8,9.4,100,2.8,372,Very Poor
2025-02-15,Gurugram,190.1,339.4,72.4,3.11,20,12,100,3.7,354,Very Poor
2025-02-15,Faridabad,201.8,357.1,57.5,3.08,27.4,12.5,99,3.6,363,Very Poor
2025-02-15,Ghaziabad,206.9,423.5,80.7,2.56,22.5,10.4,100,3.5,392,Very Poor
2025-02-16,Delhi,259.8,431.7,95.1,3.56,24.1,12.8,97,3.4,408,Severe
2025-02-16,Noida,212.5,460.8,82.1,3.52,28.1,9.4,96,2.5,438,Severe
2025-02-16,Gurugram,190.2,327.8,54.8,2.53,20.8,11.3,100,4,354,Very Poor
2025-02-16,Faridabad,220.2,365.8,73,2.68,22.8,11.4,100,3.7,377,Very Poor
2025-02-16,Ghaziabad,210.8,436.8,79,2.6,25.7,12.4,100,2.9,408,Severe
2025-02-17,Delhi,200.2,379.1,72.3,3.19,21.9,11,100,4.2,362,Very Poor
2025-02-17,Noida,220.9,458.5,69.3,2.79,22,10.5,100,2.6,436,Severe
2025-02-17,Gurugram,221.5,369.6,89.4,3.64,27.5,11.1,97,4.2,378,Very Poor
2025-02-17,Faridabad,266.1,546.8,100.1,3.79,25.9,11,100,3.7,500,Severe
2025-02-17,Ghaziabad,249.3,470.6,76.6,3.49,25.8,10.3,100,2.3,451,Severe
2025-02-18,Delhi,298.4,483.8,122.6,4.23,21.2,9.9,100,3.5,467,Severe
2025-02-18,Noida,252,461.2,82.7,3.12,25.1,11.8,100,4.2,439,Severe
2025-02-18,Gurugram,195.8,354.1,58.1,3.36,23.1,12.3,98,3,358,Very Poor
2025-02-18,Faridabad,253.9,460.7,76.7,3.6,28.3,12.3,100,3.9,438,Severe
2025-02-18,Ghaziabad,284.7,612.3,102,4.02,29.5,11.4,100,2.8,500,Severe
2025-02-19,Delhi,204.8,329.8,73.4,2.8,25.5,9.1,100,2.8,365,Very Poor
2025-02-19,Noida,252.3,529.8,89.8,3.83,26.9,12.2,96,3,500,Severe
2025-02-19,Gurugram,174,287.4,68.9,2.24,19.5,9.2,100,3.1,342,Very Poor
2025-02-19,Faridabad,293.8,590.7,108.8,4.14,22.5,12.9,97,3.8,500,Severe
2025-02-19,Ghaziabad,194.6,395.2,80.2,3,22.9,11.4,100,2.3,357,Very Poor
2025-02-20,Delhi,315.6,572.2,126.2,3.83,15.4,11.3,100,3.4,500,Severe
2025-02-20,Noida,240.1,411.8,98.5,2.88,27,11.9,100,3.5,392,Very Poor
2025-02-20,Gurugram,240.9,453.6,95.7,3.49,26.3,10.3,100,2.6,430,Severe
2025-02-20,Faridabad,207.4,332.8,75.2,3.5,22.1,11.9,100,3,367,Very Poor
2025-02-20,Ghaziabad,235.9,435.2,74,3.42,22.2,11.6,100,2.2,406,Severe
2025-02-21,Delhi,172,352.7,71.4,2.39,22.2,11.5,100,2.7,340,Very Poor
2025-02-21,Noida,213.8,448.6,62.2,3.28,29.6,12.2,100,3.1,423,Severe
2025-02-21,Gurugram,227.8,471.6,94.1,3.85,27.2,11.9,100,4.1,452,Severe
2025-02-21,Faridabad,232.9,488.9,74.1,3.14,21.7,12.2,98,3.6,474,Severe
2025-02-21,Ghaziabad,261.2,423.1,76.5,3.79,29,11.2,100,2.7,409,Severe
2025-02-22,Delhi,271.3,490.6,90.5,4.15,24.5,10.5,100,2.3,476,Severe
2025-02-22,Noida,218.9,373.6,79.7,3.34,22.7,10.6,97,2.3,376,Very Poor
2025-02-22,Gurugram,198,377.5,73.3,2.63,19.7,10.2,100,3.8,360,Very Poor
2025-02-22,Faridabad,213.1,425,72.9,3.24,26,10.4,97,2.7,394,Very Poor
2025-02-22,Ghaziabad,245.6,456.7,101.3,3.88,26.4,12.4,100,3.4,433,Severe
2025-02-23,Delhi,166.6,336.6,69.1,2.04,22,12.4,100,3,336,Very Poor
2025-02-23,Noida,163.5,309.5,49.5,2.54,21.5,9.8,100,2.3,333,Very Poor
2025-02-23,Gurugram,185.4,311.1,69.5,2.51,17.8,10.1,100,4.1,350,Very Poor
2025-02-23,Faridabad,244.5,479.8,81,3.45,29.1,12.7,100,3.8,462,Severe
2025-02-23,Ghaziabad,221.7,447.8,86.7,3.5,27.9,10.1,100,3,422,Severe
2025-02-24,Delhi,316.1,547.3,125.5,5.17,12.4,10.5,100,3.5,500,Severe
2025-02-24,Noida,228.6,432.5,93.5,3.95,29.4,11.5,100,4.2,403,Severe
2025-02-24,Gurugram,196.6,394.1,61.5,3.33,20,11.7,100,2.5,359,Very Poor
2025-02-24,Faridabad,205.4,352.8,86.2,2.9,20.2,12.1,100,2.8,366,Very Poor
2025-02-24,Ghaziabad,235.3,473.1,79.4,3.5,26,12.2,100,3.5,454,Severe
2025-02-25,Delhi,192,381,74,3.01,18.7,9.5,98,3.5,355,Very Poor
2025-02-25,Noida,240.2,423.8,87.9,4.28,29,12.6,100,3.1,392,Very Poor
2025-02-25,Gurugram,204.5,444.5,76.7,3.58,24.3,11,100,3.5,418,Severe
2025-02-25,Faridabad,242.6,463.3,82.1,3.73,25.4,10,97,3.7,442,Severe
2025-02-25,Ghaziabad,254.3,436.1,102.4,3.97,23,12.3,100,3.6,408,Severe
2025-02-26,Delhi,276.1,460.2,78.3,3.33,26.1,11.3,100,2.7,438,Severe
2025-02-26,Noida,263.7,554.2,80.2,4.7,21,11.9,100,3.1,500,Severe
2025-02-26,Gurugram,238.9,493.1,71,3.21,27.9,9.5,100,2.5,479,Severe
2025-02-26,Faridabad,201.3,354.6,67.3,3.43,25.6,11.4,100,2.3,363,Very Poor
2025-02-26,Ghaziabad,237.2,406.1,94.1,4.12,29.7,10.8,100,2.3,390,Very Poor
2025-02-27,Delhi,200.6,364.3,74.4,3.27,27,9.2,100,2.2,362,Very Poor
2025-02-27,Noida,214.2,439.4,87.5,3.64,28,11.5,100,3.8,412,Severe
2025-02-27,Gurugram,184.2,337.8,57.5,3.17,20.9,10.9,100,2.4,349,Very Poor
2025-02-27,Faridabad,255.4,458.1,100.7,4.3,23.3,11.7,99,2.6,435,Severe
